Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Time required to start a business, male (days)",IC.REG.DURS.MA,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.2,5.6,5.6,5.6,5.6,5.6,4.2,..
Time to prepare and pay taxes (hours),IC.TAX.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175,175,175,175,175,175,175,..
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.8,43.8,43.9,44,43.8,43.8,36.6,..
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Time required to start a business, female (days)",IC.REG.DURS.FE,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.2,5.6,5.6,5.6,5.6,5.6,4.2,..
Time required to register property (days),IC.PRP.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.2,15.2,15.2,15.2,15.2,15.2,15.2,..
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.2,1.1,1.1,1.1,1,1,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.2,1.1,1.1,1.1,1,1,..
Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,705900,2754286,7069874,12792812,19881549,27744342,37352520,51156350,60237701,71704000,77130000,79992000,84522000,88317000,92514000,96032000,97810000,102212000,105714000,108200000,110756000,114269000,120531000
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.256527384,0.98880068,2.509620243,4.494888518,6.920633597,9.57310291,12.77644087,17.34151705,20.23035652,23.85295723,25.4146804,26.11492781,27.3523823,28.34451919,29.45894011,30.35140225,30.69286505,31.85382022,32.72717192,33.28362773,33.86036829,34.72536697,36.41390775
Fixed telephone subscriptions,IT.MLT.MAIN,United States,USA,69039000,69039000,69039000,69039000,80515000,82802000,85426000,88431000,91265000,94282000,105559222,107519214,110612689,112550739,115985813,118289121,122789249,127086765,131504568,136114201,139412884,143341581,148106159,153447946,159659000,166446000,173867000,179850000,189502000,192513000,191570800,189250143,182933281,177690711,175160940,167459899,158418151,162763000,152873000,149652000,143319000,138595000,133233000,128495000,124848000,121343000,116297000,110333000,106630000,103052000
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,United States,USA,32.9521,32.9521,32.9521,32.9521,36.75120515,37.45232142,38.28433288,39.2636991,40.14483759,41.08571465,45.57115283,45.98339153,46.86377895,47.23924699,48.22698436,48.72614397,50.10726444,51.37470262,52.65958318,53.98779715,54.7706565,55.77697151,57.06659887,58.51405055,60.21147423,62.02917925,63.98905966,65.35833679,68.03204401,68.33707672,67.31040755,65.87670297,63.12058598,60.77916193,59.37789594,56.24008558,52.69917132,53.63113737,49.90833282,48.4292695,45.99689919,44.13236704,42.10896759,40.32184536,38.90820791,37.56563201,35.77436279,33.73104856,32.40394053,31.13328539
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.0480976472,17.6023162755,16.0769598286,15.8485299335,15.2362848574,14.2965515135,13.5303547653,11.7174025773,10.6162575632,10.7084204671,10.5551422145,9.5092092683,9.0315767684,8.8766580243,8.965921416,9.4385216576,9.6474064631,9.4754929692,8.896843214,8.7421086474,9.6748491848
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.6557019039,15.2612550306,14.8356364606,14.0809589655,14.1697929377,13.6444731873,13.4638580117,12.8047318752,11.836255103,14.3971175014,14.2246207602,12.8381063655,12.813279788,12.9609184364,12.8642012837,13.7811887363,14.0620625382,14.2753493832,13.6039431583,12.9293600814,14.4432268052
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,United States,USA,2.421875,2.54681647940075,2.93427230046948,2.64805007221955,2.78611230175739,2.79187817258883,2.79832743647475,2.82087447108604,2.85851877222756,1.99789695057834,1.55458515283843,1.85966557274574,2.00872002491436,1.88429845037545,1.99745529667684,3.38642890921464,2.93223328130385,3.23851598070595,3.00456190026742,2.73907750574868,3.33008644831365,2.43509012259516,2.40168682864381,2.5928790638489,2.57576656188838,2.53679310272843,2.89269913664177,3.52902000631738,4.43134278427465,4.11075655234663,4.52834705826436,4.33487584140749,4.73508321158077,4.35628103803075,4.11318660995006,4.0752943845932,4.10363597480521,4.41779618705967,4.77071841181492,4.56270563272599,4.55691215181744,4.89484858839231,5.04909537736164,5.10256918301301,5.38948096957839,5.52192096212011,5.7158106203712,5.71497205005344,6.24982169287353,8.03291163995596
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,United States,USA,310000000,340000000,500000000,550000000,650000000,770000000,870000000,1000000000,1110000000,950000000,890000000,1190000000,1290000000,1340000000,1460000000,2936000000,2893000000,3592000000,3820000000,4050000000,5470000000,4316000000,4465000000,5196000000,5645900000,6076000000,7408000000,9273100000,12319000000,12251000000,12862000000,12487000000,14098000000,15009000000,15568000000,17242000000,20340000000,23891000000,24925000000,26557000000,29377000000,33521000000,36324000000,38629000000,41427000000,43123000000,47657000000,49247000000,54767000000,56684000000
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.7,9.7,9.8,9.8,9.8,9.8,9.8,..
Losses due to theft and vandalism (% of annual sales of affected firms),IC.FRM.CRIM.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mobile cellular subscriptions,IT.CEL.SETS,United States,USA,..,..,..,..,0,0,0,0,0,0,..,..,..,91600,340213,681825,1230855,2069441,3508944,5283055,7557148,11032753,16009461,24134421,33785661,44042992,55312293,69209321,86047003,109478031,128500000,141800000,160637000,184819000,203700000,229600000,249300000,261300000,274283000,285118000,297404000,304838000,310698000,355500000,382307000,396000000,400000000,422000000,442457000,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,United States,USA,..,..,..,..,0,0,0,0,0,0,..,..,..,0.038445905,0.14146081,0.280860174,0.502281572,0.836569536,1.405118706,2.095449994,2.96895054,4.293056805,6.168585393,9.203138701,12.74143303,16.41343526,20.35683377,25.15099311,30.89124914,38.86183584,45.14982121,49.35962707,55.42732036,63.21739536,69.05236638,77.10934813,82.93180628,86.09952013,89.5449638,92.26777096,95.44904589,97.06859919,98.19768385,111.5562164,119.1439209,122.5945483,123.0448345,129.0140075,134.4588794,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.9,6,6,6.1,6.1,6.1,6.1,..
Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,..
Procedures to build a warehouse (number),IC.WRH.PROC,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.8,15.8,15.8,15.8,15.8,15.8,15.8,..
Procedures to register property (number),IC.PRP.PROC,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,4.4,4.4,4.4,4.4,4.4,4.4,..
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.2,28.2,28.1,28.1,27.9,27.9,20.7,..
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,..
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2481.71561200499,2986.26550102635,3841.69740629711,4303.12671032625,5129.54499374877,6358.8744685032,11435.097444529,30338.0334666117,65833.8103252123,123980.019575004,141670.28618857
Start-up procedures to register a business (number),IC.REG.PROC,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,6,6,6,..
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,6,6,6,..
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,11,11,11,11,11,..
Tax payments (number),IC.TAX.PAYM,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.6,10.6,10.6,10.6,10.6,10.6,10.6,..
Time required to build a warehouse (days),IC.WRH.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.6,80.6,80.6,80.6,80.6,80.6,80.6,..
Time required to enforce a contract (days),IC.LGL.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,444,444,444,444,444,444,444,..
Time required to get electricity (days),IC.ELC.TIME,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.6,89.6,89.6,89.6,89.6,89.6,89.6,..
Time required to obtain an operating license (days),IC.FRM.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Time to obtain an electrical connection (days),IC.ELC.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Time to resolve insolvency (years),IC.ISV.DURS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,1,1,..
Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
